W1,W2,W3,Cue_Word,Cue_Pos,Cue,block
揭竿而起,翻天覆地,叶公浩龙,1,1,竿,1
繁花似锦,掩耳盗铃,得不偿失,3,3,失,1
春暖花开,自相矛盾,疾如雷霆,3,3,霆,1
草木皆兵,功败垂成,触类旁通,2,2,垂,1
才高八斗,触类旁通,破釜沉舟,3,1,釜,1
掩耳盗铃,海誓山盟,围魏救赵,2,2,山,1
学而不厌,举案齐眉,千军万马,1,3,厌,1
大雪纷飞,程门立雪,家喻户晓,3,0,家,1
相濡以沫,惊弓之鸟,温故知新,2,0,惊,1
山崩地裂,五湖四海,风起云涌,2,3,海,1
所向披靡,完璧归赵,同甘共苦,2,3,赵,1
精益求精,负荆请罪,气势旁礴,2,2,请,1
笨鸟先飞,悬梁刺股,功亏宜篑,3,3,篑,1
举一反三,叶公浩龙,言而有信,1,1,一,1
琴瑟和鸣,心花怒放,安居乐业,1,1,瑟,1
千军万马,勇往直前,画龙点睛,3,3,睛,1
东施效颦,繁花似锦,负荆请罪,2,2,似,1
声势浩大,四面楚歌,山清水秀,3,3,秀,1
赤胆忠心,海誓山盟,夜以继日,2,0,海,1
刮目相看,舍生取义,春暖花开,3,1,暖,1
草木皆兵,闻鸡起舞,气势旁礴,2,2,起,1
白头偕老,万无一失,功败垂成,2,2,一,1
负荆请罪,胸有成竹,对牛弹琴,2,2,成,1
精益求精,大雪纷飞,日出而作,3,1,出,1
囫囵吞枣,国泰民安,排山倒海,3,0,排,1
半途而废,东施效颦,比翼双飞,2,3,颦,1
卧薪尝胆,盲人摸象,万无一失,3,0,万,1
力争上游,旗开得胜,指鹿围马,2,0,旗,1
学而不厌,围魏救赵,翻天覆地,2,2,救,1
功亏宜篑,日出而作,风和日丽,1,1,亏,1
纸上谈兵,风和日丽,持之以恒,1,2,谈,1
舍己为人,如释重负,马到成功,2,0,如,1
废寝忘食,锐不可当,前功尽弃,1,3,食,1
气势旁礴,刮目相看,千军万马,1,2,旁,1
国泰民安,班门弄斧,滥竽充数,1,3,安,1
喜出望外,绿树成荫,一举两得,1,1,出,1
笨鸟先飞,四面楚歌,翻天覆地,1,3,飞,1
半途而废,一往无前,白雪皑皑,2,2,无,1
举一反三,五湖四海,凿壁偷光,2,0,五,1
得不偿失,温故知新,叶公浩龙,3,0,叶,1
自相矛盾,力争上游,班门弄斧,2,2,上,1
马到成功,家喻户晓,运筹帷幄,1,3,功,2
赤胆忠心,鸟语花香,风和日丽,3,1,和,2
半途而废,五湖四海,肝胆相照,1,3,废,2
功败垂成,走马观花,盲人摸象,2,2,观,2
乐善浩施,画蛇添足,心花怒放,1,2,浩,2
青出于蓝,赤胆忠心,叶公浩龙,1,3,蓝,2
七步成诗,仁至义尽,赤胆忠心,1,2,成,2
大张旗鼓,海誓山盟,马到成功,1,1,张,2
背水宜战,退避三舍,画龙点睛,2,2,三,2
肝胆相照,绿树成荫,笨鸟先飞,1,3,照,2
负荆请罪,心花怒放,一诺千金,2,3,放,2
声势浩大,雷霆万钧,舍生取义,2,2,万,2
海誓山盟,程门立雪,赤胆忠心,2,0,程,2
笨鸟先飞,仁至义尽,触类旁通,2,2,义,2
盲人摸象,绿树成荫,卧薪尝胆,3,1,薪,2
凿壁偷光,釜底抽薪,目不暇接,1,3,光,2
班门弄斧,言而有信,囫囵吞枣,3,3,枣,2
山清水秀,相濡以沫,天作之合,1,1,清,2
学而不厌,持之以恒,成竹在胸,2,3,恒,2
翻天覆地,东施效颦,疾如雷霆,1,1,天,2
光明正大,温故知新,精益求精,3,3,精,2
画蛇添足,对牛弹琴,一诺千金,1,2,添,2
海誓山盟,班门弄斧,言而有信,1,1,誓,2
白头偕老,刮目相看,所向披靡,2,0,刮,2
鹤立鸡群,闻鸡起舞,悬梁刺股,1,3,群,2
如释重负,七步成诗,盲人摸象,2,3,诗,2
囫囵吞枣,大张旗鼓,青出于蓝,3,1,出,2
博古通今,风起云涌,草木皆兵,1,3,今,2
一举两得,刻舟求剑,三顾茅庐,3,3,庐,2
信守不渝,山崩地裂,夜以继日,2,0,山,2
指鹿围马,凿壁偷光,比翼双飞,3,3,飞,2
鸟语花香,马到成功,惊弓之鸟,1,2,花,2
天作之合,白头偕老,十拿九稳,2,3,老,2
七步成诗,纸上谈兵,温故知新,3,3,新,2
舍生取义,夜以继日,走马观花,1,3,义,2
天作之合,博古通今,奋发图强,2,0,博,2
信守不渝,唇亡齿寒,欣欣向荣,1,3,渝,2
得不偿失,雷厉风行,滥竽充数,1,1,不,2
万子千红,大雪纷飞,家喻户晓,1,1,子,2
青出于蓝,十拿九稳,学而不厌,3,1,而,2
白头偕老,安居乐业,家喻户晓,1,1,头,2
如释重负,班门弄斧,翻天覆地,2,2,弄,3
比翼双飞,欣欣向荣,门可罗雀,3,0,门,3
风和日丽,一败涂地,安居乐业,2,0,一,3
风驰电掣,对牛弹琴,囫囵吞枣,2,0,对,3
排山倒海,学而不厌,声势浩大,2,0,学,3
悬梁刺股,绿树成荫,功亏宜篑,1,2,刺,3
刻舟求剑,雷霆万钧,力争上游,3,1,争,3
风起云涌,守口如瓶,得不偿失,2,2,如,3
四面楚歌,大张旗鼓,滥竽充数,1,2,楚,3
雷厉风行,水滴石穿,举案齐眉,2,3,穿,3
日出而作,五湖四海,画龙点睛,2,2,四,3
夜以继日,安居乐业,守口如瓶,1,2,继,3
釜底抽薪,风起云涌,五湖四海,3,1,湖,3
博古通今,风驰电掣,才高八斗,3,1,高,3
守株待兔,声势浩大,秋高气爽,2,0,声,3
运筹帷幄,翻天覆地,马到成功,2,0,翻,3
马到成功,十拿九稳,博古通今,1,1,到,3
退避三舍,守口如瓶,成竹在胸,3,3,胸,3
完璧归赵,笨鸟先飞,唇枪舌剑,1,1,璧,3
功败垂成,秋高气爽,喜出望外,1,3,成,3
大张旗鼓,功败垂成,博古通今,2,0,功,3
十拿九稳,草木皆兵,四面楚歌,1,3,稳,3
光明正大,青出于蓝,前功尽弃,1,2,正,3
信守不渝,家喻户晓,雷厉风行,3,0,雷,3
废寝忘食,家喻户晓,程门立雪,3,1,门,3
青出于蓝,盲人摸象,排山倒海,2,3,象,3
班门弄斧,学而不厌,心花怒放,1,3,斧,3
国泰民安,程门立雪,博古通今,3,1,古,3
唇亡齿寒,草木皆兵,秋高气爽,3,3,爽,3
纸上谈兵,势不可挡,琴瑟和鸣,1,3,兵,3
万子千红,前功尽弃,举案齐眉,1,3,红,3
相濡以沫,洛阳纸贵,门可罗雀,3,3,雀,3
悬梁刺股,国泰民安,前功尽弃,1,3,股,3
程门立雪,安居乐业,走马观花,3,1,马,3
大公无私,三顾茅庐,目不暇接,1,2,无,3
心花怒放,守株待兔,围魏救赵,1,2,怒,3
光明磊落,鹤立鸡群,功亏宜篑,2,2,鸡,3
勇往直前,刮目相看,完璧归赵,1,1,往,3
背水宜战,退避三舍,闻鸡起舞,3,3,舞,3
废寝忘食,风驰电掣,唇枪舌剑,2,2,电,3
风驰电掣,背水宜战,大张旗鼓,3,0,大,3
琴瑟和鸣,风起云涌,国泰民安,2,0,风,4
指鹿围马,仁至义尽,欣欣向荣,3,3,荣,4
同甘共苦,白头偕老,自相矛盾,2,0,白,4
才高八斗,万子千红,功亏宜篑,2,2,千,4
滥竽充数,成竹在胸,完璧归赵,1,2,充,4
对牛弹琴,奋发图强,胸有成竹,3,3,竹,4
喜出望外,守口如瓶,大雪纷飞,1,2,望,4
十拿九稳,博古通今,后生可畏,1,2,九,4
前功尽弃,走马观花,山清水秀,1,1,功,4
如释重负,唇枪舌剑,绿树成荫,2,3,剑,4
功亏宜篑,秋高气爽,闻鸡起舞,2,2,气,4
自相矛盾,夜以继日,国泰民安,2,3,日,4
旗开得胜,走马观花,一举两得,1,3,胜,4
夜以继日,势不可挡,东施效颦,2,2,可,4
盲人摸象,背水宜战,言而有信,2,0,背,4
家喻户晓,自相矛盾,闻鸡起舞,2,3,盾,4
白头偕老,学富五车,揭竿而起,3,3,起,4
半途而废,对牛弹琴,十拿九稳,1,1,途,4
功亏宜篑,仁至义尽,围魏救赵,1,2,宜,4
肝胆相照,一往无前,相濡以沫,2,0,一,4
五湖四海,绿树成荫,举案齐眉,3,0,举,4
雷霆万钧,安居乐业,天作之合,3,3,合,4
掩耳盗铃,言而有信,青出于蓝,1,1,耳,4
半途而废,走马观花,千再难逢,3,1,再,4
唇亡齿寒,鹤立鸡群,勇往直前,3,0,勇,4
完璧归赵,掩耳盗铃,翻天覆地,1,2,归,4
功败垂成,波澜壮阔,鹤立鸡群,3,0,鹤,4
风驰电掣,一往无前,山清水秀,2,3,前,4
凿壁偷光,光明磊落,大张旗鼓,2,3,落,4
班门弄斧,刮目相看,白头偕老,2,2,相,4
翻天覆地,奋发图强,凿壁偷光,1,2,覆,4
十拿九稳,洛阳纸贵,一败涂地,3,1,败,4
勇往直前,一往无前,光明正大,3,3,大,4
走马观花,秋高气爽,一诺千金,3,0,一,4
破釜沉舟,运筹帷幄,赤胆忠心,3,1,胆,4
惊弓之鸟,东施效颦,繁花似锦,3,3,锦,4
旗开得胜,持之以恒,仁至义尽,1,2,得,4
雷厉风行,触类旁通,指鹿围马,1,1,厉,4
退避三舍,心花怒放,纸上谈兵,2,0,心,4
光明磊落,程门立雪,乐善浩施,3,3,施,4
安居乐业,勇往直前,一诺千金,1,2,乐,4
安居乐业,大公无私,相濡以沫,2,3,私,5
画蛇添足,乐善浩施,风和日丽,2,0,乐,5
比翼双飞,叶公浩龙,一举两得,2,3,龙,5
夜以继日,琴瑟和鸣,白雪皑皑,3,0,白,5
鹤立鸡群,功败垂成,凿壁偷光,3,0,凿,5
指鹿围马,绿树成荫,疾如雷霆,1,2,围,5
一败涂地,赤胆忠心,走马观花,3,3,花,5
雷厉风行,力争上游,大张旗鼓,1,2,风,5
运筹帷幄,举案齐眉,凿壁偷光,2,2,齐,5
精益求精,一诺千金,废寝忘食,2,3,金,5
画龙点睛,釜底抽薪,赤胆忠心,2,3,薪,5
一败涂地,滥竽充数,十拿九稳,3,0,十,5
千再难逢,七步成诗,心花怒放,1,3,逢,5
山清水秀,唇亡齿寒,比翼双飞,2,0,唇,5
如释重负,运筹帷幄,山崩地裂,1,3,负,5
背水宜战,鹤立鸡群,疾如雷霆,1,2,宜,5
乐善浩施,目不暇接,草木皆兵,2,3,接,5
废寝忘食,势不可挡,博古通今,1,2,忘,5
温故知新,千军万马,滥竽充数,3,3,数,5
刮目相看,学而不厌,喜出望外,2,2,不,5
草船借箭,前功尽弃,滥竽充数,2,2,尽,5
刻舟求剑,半途而废,惊弓之鸟,3,3,鸟,5
仁至义尽,光明正大,笨鸟先飞,1,1,至,5
惊弓之鸟,乐善浩施,草船借箭,1,1,弓,5
翻天覆地,千军万马,舍生取义,2,2,万,5
波澜壮阔,程门立雪,大张旗鼓,3,3,鼓,5
大雪纷飞,赤胆忠心,五湖四海,1,1,雪,5
舍己为人,一诺千金,目不暇接,1,3,人,5
功败垂成,唇枪舌剑,繁花似锦,3,0,繁,5
唇枪舌剑,洛阳纸贵,奋发图强,2,2,纸,5
围魏救赵,大雪纷飞,舍生取义,2,2,纷,5
门可罗雀,家喻户晓,凿壁偷光,2,3,晓,5
破釜沉舟,温故知新,才高八斗,3,3,斗,5
得不偿失,赤胆忠心,所向披靡,3,0,所,5
背水宜战,三顾茅庐,锐不可当,3,1,不,5
欣欣向荣,一举两得,琴瑟和鸣,2,0,一,5
对牛弹琴,春暖花开,运筹帷幄,1,2,弹,5
胸有成竹,风和日丽,画龙点睛,2,0,风,5
旗开得胜,画蛇添足,肝胆相照,2,3,足,5
自相矛盾,白雪皑皑,雷厉风行,2,2,皑,5
日出而作,望梅止渴,舍己为人,2,0,望,5
滥竽充数,奋发图强,三顾茅庐,3,1,顾,6
万子千红,凿壁偷光,十拿九稳,3,1,拿,6
秋高气爽,一败涂地,草木皆兵,2,2,涂,6
旗开得胜,秋高气爽,风驰电掣,1,1,开,6
舍己为人,唇亡齿寒,雷厉风行,3,3,行,6
风起云涌,春暖花开,精益求精,1,3,涌,6
大雪纷飞,雷霆万钧,指鹿围马,3,1,鹿,6
守口如瓶,废寝忘食,东施效颦,1,1,口,6
叶公浩龙,温故知新,日出而作,3,0,日,6
一败涂地,大雪纷飞,青出于蓝,2,3,飞,6
家喻户晓,画蛇添足,万无一失,2,0,画,6
程门立雪,温故知新,揭竿而起,1,2,立,6
天作之合,风和日丽,夜以继日,3,0,夜,6
风和日丽,势不可挡,光明磊落,3,1,明,6
海誓山盟,洛阳纸贵,负荆请罪,2,0,洛,6
一举两得,白头偕老,触类旁通,3,3,通,6
程门立雪,草木皆兵,学而不厌,2,3,兵,6
如释重负,一往无前,触类旁通,3,0,触,6
三顾茅庐,心花怒放,安居乐业,1,2,茅,6
赤胆忠心,纸上谈兵,琴瑟和鸣,1,3,心,6
盲人摸象,安居乐业,七步成诗,1,2,摸,6
万无一失,举一反三,唇枪舌剑,3,1,枪,6
光明磊落,乐善浩施,声势浩大,3,3,大,6
惊弓之鸟,赤胆忠心,绿树成荫,3,3,荫,6
对牛弹琴,舍生取义,万无一失,1,3,琴,6
持之以恒,程门立雪,举案齐眉,3,3,眉,6
五湖四海,风起云涌,悬梁刺股,3,0,悬,6
七步成诗,雷霆万钧,相濡以沫,3,0,相,6
排山倒海,唇亡齿寒,白头偕老,1,3,海,6
四面楚歌,风和日丽,功亏宜篑,3,0,功,6
喜出望外,琴瑟和鸣,风和日丽,2,0,琴,6
负荆请罪,仁至义尽,万子千红,1,3,罪,6
胸有成竹,卧薪尝胆,破釜沉舟,2,3,胆,6
草木皆兵,惊弓之鸟,精益求精,3,0,精,6
安居乐业,一败涂地,学而不厌,2,3,地,6
言而有信,唇亡齿寒,风起云涌,3,1,起,6
画龙点睛,千再难逢,光明磊落,3,0,光,6
鹤立鸡群,叶公浩龙,半途而废,3,0,半,6
惊弓之鸟,釜底抽薪,奋发图强,1,2,之,6
运筹帷幄,海誓山盟,卧薪尝胆,1,3,幄,6
波澜壮阔,力争上游,温故知新,2,0,力,6
风起云涌,守口如瓶,海誓山盟,2,3,瓶,7
精益求精,国泰民安,山崩地裂,1,2,求,7
舍己为人,叶公浩龙,温故知新,3,0,温,7
守口如瓶,卧薪尝胆,夜以继日,2,0,卧,7
欣欣向荣,草木皆兵,风起云涌,1,1,欣,7
大公无私,所向披靡,胸有成竹,2,2,披,7
一诺千金,温故知新,持之以恒,1,1,诺,7
喜出望外,鸟语花香,气势旁礴,1,3,外,7
风和日丽,千再难逢,才高八斗,2,2,难,7
繁花似锦,目不暇接,班门弄斧,2,2,暇,7
目不暇接,程门立雪,闻鸡起舞,2,3,雪,7
叶公浩龙,排山倒海,大公无私,3,1,公,7
唇枪舌剑,家喻户晓,掩耳盗铃,1,2,舌,7
五湖四海,山清水秀,画蛇添足,3,1,蛇,7
势不可挡,前功尽弃,背水宜战,1,1,不,7
家喻户晓,自相矛盾,前功尽弃,1,1,喻,7
半途而废,举案齐眉,势不可挡,3,0,势,7
画龙点睛,五湖四海,舍己为人,3,1,己,7
相濡以沫,琴瑟和鸣,掩耳盗铃,2,3,鸣,7
温故知新,排山倒海,前功尽弃,1,1,故,7
前功尽弃,走马观花,草船借箭,1,3,弃,7
比翼双飞,守口如瓶,风驰电掣,3,1,驰,7
十拿九稳,同甘共苦,千再难逢,3,0,千,7
半途而废,家喻户晓,目不暇接,2,2,户,7
纸上谈兵,掩耳盗铃,唇亡齿寒,2,2,盗,7
排山倒海,温故知新,绿树成荫,3,0,绿,7
功败垂成,肝胆相照,唇亡齿寒,3,3,寒,7
奋发图强,负荆请罪,唇亡齿寒,1,2,图,7
自相矛盾,指鹿围马,笨鸟先飞,2,3,马,7
心花怒放,相濡以沫,青出于蓝,2,3,沫,7
纸上谈兵,四面楚歌,学富五车,2,3,歌,7
围魏救赵,程门立雪,雷厉风行,1,3,赵,7
画龙点睛,绿树成荫,负荆请罪,3,1,荆,7
山清水秀,背水宜战,舍生取义,3,1,生,7
叶公浩龙,信守不渝,程门立雪,1,1,公,7
守株待兔,东施效颦,信守不渝,1,2,待,7
画龙点睛,三顾茅庐,笨鸟先飞,3,0,笨,7
乐善浩施,雷霆万钧,赤胆忠心,2,3,钧,7
相濡以沫,欣欣向荣,负荆请罪,2,0,欣,7
围魏救赵,破釜沉舟,功败垂成,1,1,魏,7
刮目相看,功败垂成,光明磊落,1,1,目,7
白雪皑皑,同甘共苦,舍生取义,2,3,苦,8
信守不渝,指鹿围马,唇枪舌剑,2,0,指,8
国泰民安,唇枪舌剑,揭竿而起,1,2,民,8
半途而废,望梅止渴,举案齐眉,3,1,案,8
温故知新,舍己为人,洛阳纸贵,2,0,舍,8
天作之合,唇枪舌剑,草木皆兵,1,2,之,8
一败涂地,大公无私,笨鸟先飞,3,1,鸟,8
天作之合,四面楚歌,同甘共苦,3,1,甘,8
国泰民安,安居乐业,守株待兔,3,0,守,8
国泰民安,千军万马,排山倒海,2,3,马,8
白雪皑皑,夜以继日,指鹿围马,1,3,皑,8
白雪皑皑,山崩地裂,万无一失,3,3,失,8
绿树成荫,比翼双飞,凿壁偷光,1,1,树,8
心花怒放,乐善浩施,盲人摸象,3,1,人,8
闻鸡起舞,掩耳盗铃,负荆请罪,2,3,铃,8
博古通今,繁花似锦,气势旁礴,3,0,气,8
闻鸡起舞,完璧归赵,才高八斗,1,1,鸡,8
万无一失,鹤立鸡群,洛阳纸贵,3,3,贵,8
青出于蓝,光明磊落,疾如雷霆,3,1,如,8
雷霆万钧,舍生取义,秋高气爽,2,0,舍,8
日出而作,画龙点睛,疾如雷霆,3,0,疾,8
破釜沉舟,唇亡齿寒,奋发图强,2,2,齿,8
半途而废,草船借箭,温故知新,1,2,而,8
刮目相看,鸟语花香,洛阳纸贵,1,3,看,8
举案齐眉,走马观花,波澜壮阔,3,1,澜,8
刻舟求剑,仁至义尽,凿壁偷光,2,3,尽,8
刻舟求剑,大张旗鼓,后生可畏,1,3,剑,8
四面楚歌,洛阳纸贵,琴瑟和鸣,1,1,面,8
白头偕老,春暖花开,山清水秀,2,2,花,8
山崩地裂,才高八斗,功败垂成,1,3,裂,8
釜底抽薪,指鹿围马,东施效颦,3,0,东,8
光明磊落,喜出望外,马到成功,3,0,马,8
势不可挡,盲人摸象,山清水秀,1,3,挡,8
班门弄斧,胸有成竹,光明正大,3,0,光,8
后生可畏,闻鸡起舞,程门立雪,1,3,畏,8
揭竿而起,刻舟求剑,气势旁礴,2,0,刻,8
一诺千金,退避三舍,千再难逢,2,0,退,8
喜出望外,白头偕老,围魏救赵,2,2,偕,8
锐不可当,退避三舍,唇枪舌剑,2,3,舍,8
刮目相看,退避三舍,学富五车,3,0,学,8
滥竽充数,成竹在胸,画龙点睛,3,1,龙,8
大张旗鼓,风和日丽,日出而作,2,3,丽,9
鸟语花香,勇往直前,翻天覆地,1,1,语,9
刮目相看,守口如瓶,肝胆相照,3,1,胆,9
波澜壮阔,唇亡齿寒,举一反三,3,3,三,9
背水宜战,所向披靡,胸有成竹,3,0,胸,9
相濡以沫,功亏宜篑,前功尽弃,1,2,以,9
走马观花,所向披靡,大雪纷飞,2,3,靡,9
触类旁通,仁至义尽,青出于蓝,2,0,仁,9
天作之合,守口如瓶,安居乐业,1,1,作,9
唇亡齿寒,负荆请罪,背水宜战,3,3,战,9
得不偿失,风和日丽,言而有信,2,2,日,9
言而有信,鹤立鸡群,班门弄斧,3,0,班,9
山崩地裂,信守不渝,比翼双飞,2,0,信,9
学富五车,风驰电掣,波澜壮阔,3,3,阔,9
望梅止渴,十拿九稳,如释重负,3,1,释,9
对牛弹琴,指鹿围马,波澜壮阔,1,1,牛,9
心花怒放,精益求精,一举两得,3,3,得,9
心花怒放,画龙点睛,所向披靡,2,0,画,9
守株待兔,日出而作,揭竿而起,3,0,揭,9
勇往直前,日出而作,鸟语花香,3,3,香,9
绿树成荫,举案齐眉,功亏宜篑,1,2,成,9
奋发图强,卧薪尝胆,刻舟求剑,1,3,强,9
排山倒海,自相矛盾,大公无私,2,0,自,9
功亏宜篑,心花怒放,掩耳盗铃,3,0,掩,9
锐不可当,翻天覆地,闻鸡起舞,2,3,地,9
画龙点睛,风起云涌,才高八斗,1,2,点,9
排山倒海,举一反三,繁花似锦,1,2,倒,9
疾如雷霆,举案齐眉,白雪皑皑,3,1,雪,9
气势旁礴,一往无前,博古通今,1,3,礴,9
学富五车,唇枪舌剑,雷霆万钧,1,1,富,9
触类旁通,鸟语花香,运筹帷幄,1,1,类,9
雷霆万钧,信守不渝,万无一失,1,1,霆,9
比翼双飞,喜出望外,万子千红,1,2,双,9
家喻户晓,破釜沉舟,唇枪舌剑,2,0,破,9
万子千红,守口如瓶,胸有成竹,3,1,有,9
日出而作,叶公浩龙,风起云涌,1,3,作,9
奋发图强,海誓山盟,安居乐业,3,3,业,9
守株待兔,举一反三,刻舟求剑,3,1,舟,9
雷厉风行,山崩地裂,锐不可当,3,3,当,9
疾如雷霆,草船借箭,举一反三,2,3,箭,9
废寝忘食,同甘共苦,风和日丽,2,2,共,9
