w1,w2,w3,,,Cue,,,,,,,,,,,,,
城市,榜样,温泉,,,市,,cheng2,shi4,bang3,yang4,wen1,quan2,,,,,,,,shi4
新闻,玩具,普通话,,,闻,,xin1,wen2,wan2,ju4,pu3,tong1,hua4,,,,,,,wen2
银行,观点,传宗接代,,,行,,yin2,hang2,guan1,dian3,chuan2,zong1,jie1,dai4,,,,,,hang2
宇宙,党中央,走廊,,,宙,,yu3,zhou4,dang3,zhong1,yang1,zou3,lang2,,,,,,,zhou4
昆虫,责任感,婚姻法,,,虫,,kun1,chong2,ze2,ren4,gan3,hun1,yin1,fa3,,,,,,chong2
蔬菜,暴风雨,釜底抽薪,,,菜,,shu1,cai4,bao4,feng1,yu3,fu3,di3,chou1,xin1,,,,,cai4
修养,细枝末节,故乡,,,养,,xiu1,yang3,xi4,zhi1,mo4,jie2,gu4,xiang1,,,,,,yang3
仓库,巧夺天工,好奇心,,,库,,cang1,ku4,qiao3,duo2,tian1,gong1,hao4,qi2,xin1,,,,,ku4
村庄,竭泽而渔,掩耳盗铃,,,庄,,cun1,zhuang1,jie2,ze2,er2,yu2,yan3,er3,dao4,ling2,,,,zhuang1
羽毛,企业,雕塑,,,毛,,yu3,mao2,qi3,ye4,diao1,su4,,,,,,,,mao2
萌芽,城市,检察官,,,芽,,meng2,ya2,cheng2,shi4,jian3,cha2,guan1,,,,,,,ya2
香烟,觉悟,当机立断,,,烟,,xiang1,yan1,jue2,wu4,dang1,ji1,li4,duan4,,,,,,yan1
常识,内分泌,阶层,,,识,,chang2,shi2,nei4,fen1,mi4,jie1,ceng2,,,,,,,shi2
网络,荧光屏,研究生,,,络,,wang3,luo4,ying2,guang1,ping2,yan2,jiu1,sheng1,,,,,,luo4
宗旨,视网膜,细枝末节,,,旨,,zong1,zhi3,shi4,wang3,mo2,xi4,zhi1,mo4,jie2,,,,,zhi3
走廊,固步自封,沙滩,,,廊,,zou3,lang2,gu4,bu4,zi4,feng1,sha1,tan1,,,,,,lang2
偏见,身先士卒,金黄色,,,见,,pian1,jian4,shen1,xian1,shi4,zu2,jin1,huang2,se4,,,,,jian4
尊严,倾家荡产,因材施教,,,严,,zun1,yan2,qing1,jia1,dang4,chan3,yin1,cai2,shi1,jiao4,,,,yan2
数据,丘陵,形状,,,丘,,shu4,ju4,qiu1,ling2,xing2,zhuang4,,,,,,,,qiu1
汉字,瀑布,工艺品,,,瀑,,han4,zi4,pu4,bu4,gong1,yi4,pin3,,,,,,,pu4
散文,餐厅,任重道远,,,餐,,san3,wen2,can1,ting1,ren4,zhong4,dao4,yuan3,,,,,,can1
青少年,贝壳,途径,,,贝,,qing1,shao4,nian2,bei4,ke2,tu2,jing4,,,,,,,bei4
普通话,遗嘱,穿山甲,,,遗,,pu3,tong1,hua4,yi2,zhu3,chuan1,shan1,jia3,,,,,,yi2
相对论,皱纹,守株待兔,,,皱,,xiang1,dui4,lun4,zhou4,wen2,shou3,zhu1,dai4,tu4,,,,,zhou4
心血来潮,契约,萌芽,,,契,,xin1,xue4,lai2,chao2,qi4,yue1,meng2,ya2,,,,,,qi4
照本宣科,荣誉,直辖市,,,荣,,zhao4,ben3,xuan1,ke1,rong2,yu4,zhi2,xia2,shi4,,,,,rong2
妙语连珠,途径,轻车熟路,,,途,,miao4,yu3,lian2,zhu1,tu2,jing4,qing1,che1,shu2,lu4,,,,tu2
瀑布,婚礼,节目,,,婚,,pu4,bu4,hun1,li3,jie2,mu4,,,,,,,,hun1
郊区,阶层,淋巴结,,,阶,,jiao1,qu1,jie1,ceng2,lin2,ba1,jie2,,,,,,,jie1
温泉,沙滩,巧夺天工,,,沙,,wen1,quan2,sha1,tan1,qiao3,duo2,tian1,gong1,,,,,,sha1
志愿军,邮票,种族,,,邮,,zhi4,yuan4,1-6月,you2,piao4,zhong3,zu2,,,,,,,you2
销售额,性别,太阳能,,,性,,xiao1,shou4,e2,xing4,bie2,tai4,yang2,neng2,,,,,,xing4
紫外线,灰尘,妙语连珠,,,灰,,zi3,wai4,xian4,hui1,chen2,miao4,yu3,lian2,zhu1,,,,,hui1
蝇头小利,数据,村庄,,,数,,ying2,tou2,xiao3,li4,shu4,ju4,cun1,zhuang1,,,,,,shu4
千载难逢,雕塑,参谋长,,,雕,,qian1,zai3,nan2,feng2,diao1,su4,can1,mou2,zhang3,,,,,diao1
稍纵即逝,基础,品学兼优,,,基,,shao1,zong4,ji2,shi4,ji1,chu3,pin3,xue2,jian1,you1,,,,ji1
悲剧,香烟,范围,,,范,,bei1,ju4,xiang1,yan1,fan4,wei2,,,,,,,,fan4
轮廓,手榴弹,军队,,,军,,lun2,kuo4,shou3,liu2,dan4,1-6月,dui4,,,,,,,1-6月
故乡,任重道远,觉悟,,,觉,,gu4,xiang1,ren4,zhong4,dao4,yuan3,jue2,wu4,,,,,,jue2
国务院,珍珠,灵魂,,,灵,,guo2,wu4,yuan4,zhen1,zhu1,ling2,hun2,,,,,,,ling2
好奇心,乒乓球,祖先,,,祖,,hao4,qi2,xin1,ping1,pang1,qiu2,zu3,xian1,,,,,,zu3
内分泌,掩耳盗铃,玩具,,,玩,,nei4,fen1,mi4,yan3,er3,dao4,ling2,wan2,ju4,,,,,wan2
垂涎欲滴,名称,珍珠,,,珍,,chui2,xian2,yu4,di1,ming2,cheng1,zhen1,zhu1,,,,,,zhen1
随波逐流,方程式,权威,,,权,,sui2,bo1,zhu2,liu2,fang1,cheng2,shi4,quan2,wei1,,,,,quan2
海市蜃楼,亡羊补牢,财富,,,财,,hai3,shi4,shen4,lou2,wang2,yang2,bu3,lao2,cai2,fu4,,,,cai2
契约,流派,观点,,,观,,qi4,yue1,liu2,pai4,guan1,dian3,,,,,,,,guan1
范围,高利贷,技巧,,,技,,fan4,wei2,gao1,li4,dai4,ji4,qiao3,,,,,,,ji4
榜样,哗众取宠,流派,,,流,,bang3,yang4,hua2,zhong4,qu3,chong3,liu2,pai4,,,,,,liu2
海平面,生活,居民,,,居,,hai3,ping2,mian4,sheng1,huo2,ju1,min2,,,,,,,ju1
病原体,西红柿,诗歌,,,诗,,bing4,yuan2,ti3,xi1,hong2,shi4,shi1,ge1,,,,,,shi1
葡萄糖,举世瞩目,汉字,,,汉,,pu2,tao2,tang2,ju3,shi4,zhu3,mu4,han4,zi4,,,,,han4
模棱两可,词汇,企业,,,企,,mo2,leng2,liang3,ke3,ci2,hui4,qi3,ye4,,,,,,qi3
病入膏肓,氨基酸,轮廓,,,轮,,bing4,ru4,gao1,huang1,an1,ji1,suan1,lun2,kuo4,,,,,lun2
运筹帷幄,纸上谈兵,词汇,,,词,,yun4,chou2,wei2,wo4,zhi3,shang4,tan2,bing1,ci2,hui4,,,,ci2
词汇,新闻,郊区,,,区,,ci2,hui4,xin1,wen2,jiao1,qu1,,,,,,,,qu1
雕塑,代表团,生活,,,活,,diao1,su4,dai4,biao3,tuan2,sheng1,huo2,,,,,,,huo2
觉悟,日积月累,宣言,,,言,,jue2,wu4,ri4,ji1,yue4,lei3,xuan1,yan2,,,,,,yan2
宇航员,轮廓,肥料,,,料,,yu3,hang2,yuan2,lun2,kuo4,fei2,liao4,,,,,,,liao4
研究生,图书馆,边疆,,,疆,,yan2,jiu1,sheng1,tu2,shu1,guan3,bian1,jiang1,,,,,,jiang1
太阳能,如虎添翼,答案,,,案,,tai4,yang2,neng2,ru2,hu3,tian1,yi4,da2,an4,,,,,an4
化险为夷,居民,条款,,,款,,hua4,xian3,wei2,yi2,ju1,min2,tiao2,kuan3,,,,,,kuan3
人赃俱获,重要性,榜样,,,样,,ren2,zang1,ju4,huo4,zhong4,yao4,xing4,bang3,yang4,,,,,yang4
言简意赅,循规蹈矩,根源,,,源,,yan2,jian3,yi4,gai1,xun2,gui1,dao3,ju3,gen1,yuan2,,,,yuan2
环境,权威,名称,,,称,,huan2,jing4,quan2,wei1,ming2,cheng1,,,,,,,,cheng1
餐厅,写字台,草原,,,原,,can1,ting1,xie3,zi4,tai2,cao3,yuan2,,,,,,,yuan2
灰尘,蛛丝马迹,背影,,,影,,hui1,chen2,zhu1,si1,ma3,ji4,bei4,ying3,,,,,,ying3
进行曲,萌芽,环境,,,境,,jin4,xing2,qu3,meng2,ya2,huan2,jing4,,,,,,,jing4
消费者,科学家,伦理,,,理,,xiao1,fei4,zhe3,ke1,xue2,jia1,lun2,li3,,,,,,li3
交响乐,传宗接代,悲剧,,,剧,,jiao1,xiang3,yue4,chuan2,zong1,jie1,dai4,bei1,ju4,,,,,ju4
逍遥法外,商店,线索,,,索,,xiao1,yao2,fa3,wai4,shang1,dian4,xian4,suo3,,,,,,suo3
各抒己见,单细胞,童话,,,话,,ge4,shu1,ji3,jian4,dan1,xi4,bao1,tong2,hua4,,,,,hua4
大快朵颐,劳逸结合,价格,,,格,,da4,kuai4,duo3,yi2,lao2,yi4,jie2,he2,jia4,ge2,,,,ge2
幼儿园,范围,邮票,,,儿,,you4,er2,yuan2,fan4,wei2,you2,piao4,,,,,,,er2
重要性,汉字,呼吸道,,,要,,zhong4,yao4,xing4,han4,zi4,hu1,xi1,dao4,,,,,,yao4
直辖市,温泉,刻不容缓,,,辖,,zhi2,xia2,shi4,wen1,quan2,ke4,bu4,rong2,huan3,,,,,xia2
工艺品,价值观,丘陵,,,艺,,gong1,yi4,pin3,jia4,zhi2,guan1,qiu1,ling2,,,,,,yi4
多边形,穿山甲,图书馆,,,边,,duo1,bian1,xing2,chuan1,shan1,jia3,tu2,shu1,guan3,,,,,bian1
穿山甲,招待所,延年益寿,,,山,,chuan1,shan1,jia3,zhao1,dai4,suo3,yan2,nian2,yi4,shou4,,,,shan1
冷空气,吞云吐雾,偏见,,,空,,leng3,kong1,qi4,tun1,yun2,tu3,wu4,pian1,jian4,,,,,kong1
魔术师,聚精会神,男子汉,,,术,,mo2,shu4,shi1,ju4,jing1,hui4,shen2,nan2,zi3,han4,,,,shu4
婚姻法,滥竽充数,哗众取宠,,,姻,,hun1,yin1,fa3,lan4,yu2,chong1,shu4,hua2,zhong4,qu3,chong3,,,yin1
视网膜,条款,契约,,,网,,shi4,wang3,mo2,tiao2,kuan3,qi4,yue1,,,,,,,wang3
检察官,修养,责任感,,,察,,jian3,cha2,guan1,xiu1,yang3,ze2,ren4,gan3,,,,,,cha2
神经元,军队,手忙脚乱,,,经,,shen2,jing1,yuan2,1-6月,dui4,shou3,mang2,jiao3,luan4,,,,,jing1
西红柿,出版社,界限,,,红,,xi1,hong2,shi4,chu1,ban3,she4,jie4,xian4,,,,,,hong2
催化剂,神经元,变压器,,,化,,cui1,hua4,ji4,shen2,jing1,yuan2,bian4,ya1,qi4,,,,,hua4
淋巴结,反动派,随波逐流,,,巴,,lin2,ba1,jie2,fan3,dong4,pai4,sui2,bo1,zhu2,liu2,,,,ba1
会议室,望尘莫及,宗旨,,,议,,hui4,yi4,shi4,wang4,chen2,mo4,ji2,zong1,zhi3,,,,,yi4
荧光屏,西装革履,党中央,,,光,,ying2,guang1,ping2,xi1,zhuang1,ge2,lv3,dang3,zhong1,yang1,,,,guang1
手榴弹,并驾齐驱,跋山涉水,,,榴,,shou3,liu2,dan4,bing4,jia4,qi2,qu1,ba2,shan1,she4,shui3,,,liu2
锦标赛,郊区,灰尘,,,标,,jin3,biao1,sai4,jiao1,qu1,hui1,chen2,,,,,,,biao1
蒸馏水,草原,单细胞,,,馏,,zheng1,liu2,shui3,cao3,yuan2,dan1,xi4,bao1,,,,,,liu2
超声波,课程,举世瞩目,,,声,,chao1,sheng1,bo1,ke4,cheng2,ju3,shi4,zhu3,mu4,,,,,sheng1
出版社,呼吸道,婚礼,,,版,,chu1,ban3,she4,hu1,xi1,dao4,hun1,li3,,,,,,ban3
灵敏度,多边形,科学家,,,敏,,ling2,min3,du4,duo1,bian1,xing2,ke1,xue2,jia1,,,,,min3
畜牧业,锦标赛,名列前茅,,,牧,,xu4,mu4,ye4,jin3,biao1,sai4,ming2,lie4,qian2,mao2,,,,mu4
变压器,各抒己见,性别,,,压,,bian4,ya1,qi4,ge4,shu1,ji3,jian4,xing4,bie2,,,,,ya1
高利贷,昭然若揭,催化剂,,,利,,gao1,li4,dai4,zhao1,ran2,ruo4,jie1,cui1,hua4,ji4,,,,li4
金黄色,蛛丝马迹,聚精会神,,,黄,,jin1,huang2,se4,zhu1,si1,ma3,ji4,ju4,jing1,hui4,shen2,,,huang2
单细胞,宣言,羽毛,,,胞,,dan1,xi4,bao1,xuan1,yan2,yu3,mao2,,,,,,,bao1
写字台,形状,出版社,,,台,,xie3,zi4,tai2,xing2,zhuang4,chu1,ban3,she4,,,,,,tai2
望远镜,悲剧,淋漓尽致,,,镜,,wang4,yuan3,jing4,bei1,ju4,lin2,li2,jin4,zhi4,,,,,jing4
价值观,超声波,城市,,,观,,jia4,zhi2,guan1,chao1,sheng1,bo1,cheng2,shi4,,,,,,guan1
超声波,相对论,同位素,,,波,,chao1,sheng1,bo1,xiang1,dui4,lun4,tong2,wei4,su4,,,,,bo1
锦标赛,科学家,人赃俱获,,,赛,,jin3,biao1,sai4,ke1,xue2,jia1,ren2,zang1,ju4,huo4,,,,sai4
穿山甲,细枝末节,香烟,,,甲,,chuan1,shan1,jia3,xi4,zhi1,mo4,jie2,xiang1,yan1,,,,,jia3
党中央,开诚布公,青少年,,,央,,dang3,zhong1,yang1,kai1,cheng2,bu4,gong1,qing1,shao4,nian2,,,,yang1
多边形,昭然若揭,横冲直撞,,,形,,duo1,bian1,xing2,zhao1,ran2,ruo4,jie1,heng2,chong1,zhi2,zhuang4,,,xing2
西红柿,规则,贝壳,,,柿,,xi1,hong2,shi4,gui1,ze2,bei4,ke2,,,,,,,shi4
氨基酸,环境,相对论,,,酸,,an1,ji1,suan1,huan2,jing4,xiang1,dui4,lun4,,,,,,suan1
重要性,边疆,循规蹈矩,,,性,,zhong4,yao4,xing4,bian1,jiang1,xun2,gui1,dao3,ju3,,,,,xing4
招待所,氨基酸,修养,,,所,,zhao1,dai4,suo3,an1,ji1,suan1,xiu1,yang3,,,,,,suo3
科学家,障碍物,魔术师,,,家,,ke1,xue2,jia1,zhang4,ai4,wu4,mo2,shu4,shi1,,,,,jia1
乒乓球,直辖市,化险为夷,,,球,,ping1,pang1,qiu2,zhi2,xia2,shi4,hua4,xian3,wei2,yi2,,,,qiu2
奴隶制,责无旁贷,新闻,,,制,,nu2,li4,zhi4,ze2,wu2,pang2,dai4,xin1,wen2,,,,,zhi4
蒸馏水,日积月累,铁矿石,,,水,,zheng1,liu2,shui3,ri4,ji1,yue4,lei3,tie3,kuang4,shi2,,,,shui3
同位素,按部就班,望尘莫及,,,素,,tong2,wei4,su4,an4,bu4,jiu4,ban1,wang4,chen2,mo4,ji2,,,su4
反动派,走廊,宇宙,,,派,,fan3,dong4,pai4,zou3,lang2,yu3,zhou4,,,,,,,pai4
催化剂,羽毛,奴隶制,,,剂,,cui1,hua4,ji4,yu3,mao2,nu2,li4,zhi4,,,,,,ji4
代表团,祖先,引经据典,,,团,,dai4,biao3,tuan2,zu3,xian1,yin3,jing1,ju4,dian3,,,,,tuan2
自然界,代表团,仓库,,,界,,zi4,ran2,jie4,dai4,biao3,tuan2,cang1,ku4,,,,,,jie4
暴风雨,重要性,代表团,,,雨,,bao4,feng1,yu3,zhong4,yao4,xing4,dai4,biao3,tuan2,,,,,yu3
呼吸道,交响乐,对症下药,,,道,,hu1,xi1,dao4,jiao1,xiang3,yue4,dui4,zheng4,xia4,yao4,,,,dao4
会议室,病入膏肓,蔬菜,,,室,,hui4,yi4,shi4,bing4,ru4,gao1,huang1,shu1,cai4,,,,,shi4
方程式,花团锦簇,国务院,,,式,,fang1,cheng2,shi4,hua1,tuan2,jin3,cu4,guo2,wu4,yuan4,,,,shi4
责任感,力挽狂澜,废寝忘食,,,感,,ze2,ren4,gan3,li4,wan3,kuang2,lan2,fei4,qin3,wang4,shi2,,,gan3
荧光屏,常识,规则,,,屏,,ying2,guang1,ping2,chang2,shi2,gui1,ze2,,,,,,,ping2
创造力,答案,消费者,,,力,,chuang4,zao4,li4,da2,an4,xiao1,fei4,zhe3,,,,,,li4
俱乐部,村庄,并驾齐驱,,,部,,ju4,le4,bu4,cun1,zhuang1,bing4,jia4,qi2,qu1,,,,,bu4
障碍物,青少年,尊严,,,物,,zhang4,ai4,wu4,qing1,shao4,nian2,zun1,yan2,,,,,,wu4
直辖市,蒸馏水,交响乐,,,市,,zhi2,xia2,shi4,zheng1,liu2,shui3,jiao1,xiang3,yue4,,,,,shi4
猫头鹰,销售额,如虎添翼,,,鹰,,mao1,tou2,ying1,xiao1,shou4,e2,ru2,hu3,tian1,yi4,,,,ying1
金黄色,并驾齐驱,数据,,,色,,jin1,huang2,se4,bing4,jia4,qi2,qu1,shu4,ju4,,,,,se4
铁矿石,哗众取宠,蒸馏水,,,石,,tie3,kuang4,shi2,hua2,zhong4,qu3,chong3,zheng1,liu2,shui3,,,,shi2
图书馆,张冠李戴,出类拔萃,,,馆,,tu2,shu1,guan3,zhang1,guan1,li3,dai4,chu1,lei4,ba2,cui4,,,guan3
丘陵,婚姻法,商店,,,婚,,qiu1,ling2,hun1,yin1,fa3,shang1,dian4,,,,,,,hun1
条款,病原体,冷空气,,,病,,tiao2,kuan3,bing4,yuan2,ti3,leng3,kong1,qi4,,,,,,bing4
流派,会议室,临危受命,,,会,,liu2,pai4,hui4,yi4,shi4,lin2,wei1,shou4,ming4,,,,,hui4
马铃薯,自然界,荣誉,,,自,,ma3,ling2,shu3,zi4,ran2,jie4,rong2,yu4,,,,,,zi4
介绍信,参谋长,灵敏度,,,参,,jie4,shao4,xin4,can1,mou2,zhang3,ling2,min3,du4,,,,,can1
天花板,检察官,劳逸结合,,,检,,tian1,hua1,ban3,jian3,cha2,guan1,lao2,yi4,jie2,he2,,,,jian3
亡羊补牢,宇航员,散文,,,宇,,wang2,yang2,bu3,lao2,yu3,hang2,yuan2,san3,wen2,,,,,yu3
废寝忘食,催化剂,会议室,,,催,,fei4,qin3,wang4,shi2,cui1,hua4,ji4,hui4,yi4,shi4,,,,cui1
灰飞烟灭,金黄色,垂涎欲滴,,,金,,hui1,fei1,yan1,mie4,jin1,huang2,se4,chui2,xian2,yu4,di1,,,jin1
基础,马铃薯,网络,,,马,,ji1,chu3,ma3,ling2,shu3,wang3,luo4,,,,,,,ma3
面包,望远镜,方程式,,,望,,mian4,bao1,wang4,yuan3,jing4,fang1,cheng2,shi4,,,,,,wang4
遗嘱,蒸馏水,淋漓尽致,,,蒸,,yi2,zhu3,zheng1,liu2,shui3,lin2,li2,jin4,zhi4,,,,,zheng1
录音机,灵敏度,瀑布,,,灵,,lu4,yin1,ji1,ling2,min3,du4,pu4,bu4,,,,,,ling2
电冰箱,直辖市,反动派,,,直,,dian4,bing1,xiang1,zhi2,xia2,shi4,fan3,dong4,pai4,,,,,zhi2
银河系,创造力,横冲直撞,,,创,,yin2,he2,xi4,chuang4,zao4,li4,heng2,chong1,zhi2,zhuang4,,,,chuang4
轻车熟路,变压器,面包,,,变,,qing1,che1,shu2,lu4,bian4,ya1,qi4,mian4,bao1,,,,,bian4
延年益寿,铁矿石,呼吸道,,,铁,,yan2,nian2,yi4,shou4,tie3,kuang4,shi2,hu1,xi1,dao4,,,,tie3
开诚布公,障碍物,劳逸结合,,,障,,kai1,cheng2,bu4,gong1,zhang4,ai4,wu4,lao2,yi4,jie2,he2,,,zhang4
财富,俱乐部,遗嘱,,,俱,,cai2,fu4,ju4,le4,bu4,yi2,zhu3,,,,,,,ju4
贝壳,同位素,价值观,,,同,,bei4,ke2,tong2,wei4,su4,jia4,zhi2,guan1,,,,,,tong2
珍珠,淋巴结,巧夺天工,,,淋,,zhen1,zhu1,lin2,ba1,jie2,qiao3,duo2,tian1,gong1,,,,,lin2
笔记本,进行曲,银行,,,进,,bi3,ji4,ben3,jin4,xing2,qu3,yin2,hang2,,,,,,jin4
公安局,奴隶制,代表团,,,奴,,gong1,an1,ju2,nu2,li4,zhi4,dai4,biao3,tuan2,,,,,nu2
参谋长,冷空气,釜底抽薪,,,冷,,can1,mou2,zhang3,leng3,kong1,qi4,fu3,di3,chou1,xin1,,,,leng3
按部就班,猫头鹰,皱纹,,,猫,,an4,bu4,jiu4,ban1,mao1,tou2,ying1,zhou4,wen2,,,,,mao1
临危受命,葡萄糖,笔记本,,,葡,,lin2,wei1,shou4,ming4,pu2,tao2,tang2,bi3,ji4,ben3,,,,pu2
引经据典,销售额,循规蹈矩,,,销,,yin3,jing1,ju4,dian3,xiao1,shou4,e2,xun2,gui1,dao3,ju3,,,xiao1
答案,太阳能,基础,,,能,,da2,an4,tai4,yang2,neng2,ji1,chu3,,,,,,,neng2
企业,紫外线,病原体,,,线,,qi3,ye4,zi3,wai4,xian4,bing4,yuan2,ti3,,,,,,xian4
价格,海平面,责无旁贷,,,面,,jia4,ge2,hai3,ping2,mian4,ze2,wu2,pang2,dai4,,,,,mian4
男子汉,宇航员,餐厅,,,员,,nan2,zi3,han4,yu3,hang2,yuan2,can1,ting1,,,,,,yuan2
主人翁,普通话,宇航员,,,话,,zhu3,ren2,weng1,pu3,tong1,hua4,yu3,hang2,yuan2,,,,,hua4
录音机,葡萄糖,跋山涉水,,,糖,,lu4,yin1,ji1,pu2,tao2,tang2,ba2,shan1,she4,shui3,,,,tang2
当机立断,幼儿园,昆虫,,,园,,dang1,ji1,li4,duan4,you4,er2,yuan2,kun1,chong2,,,,,yuan2
引经据典,变压器,图书馆,,,器,,yin3,jing1,ju4,dian3,bian4,ya1,qi4,tu2,shu1,guan3,,,,qi4
